transaction_id,customer_id,transaction_amount,transaction_hour,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,previous_chargebacks,account_age_days,risk_score_external,amount_to_customer_avg_ratio,failed_transaction_rate_24h,night_transaction,high_velocity_flag,new_account_flag,has_previous_chargeback,merchant_category,device_type,country,is_foreign_transaction,is_fraud
1165,5132,49.27,4,1446,2,1,34.95,0,1799,0.0164,1.409728183118741,0.5,1,0,0,0,entertainment,mobile,US,False,0
28818,1990,23.08,0,3372,0,0,18.17,0,3600,0.0,1.2702256466703354,0.0,1,0,0,0,utilities,pos,GB,False,0
12854,8210,100.87,22,3313,1,0,44.73,0,3605,0.0,2.255086071987481,0.0,0,0,0,0,restaurant,pos,US,False,0
36649,2385,12.18,17,671,1,0,18.68,0,1022,0.0194,0.6520342612419701,0.0,0,0,0,0,electronics,mobile,CA,False,0
48153,9955,119.72,18,1872,1,0,151.56,0,2011,0.0012,0.7899181842174716,0.0,0,0,0,0,entertainment,tablet,DE,False,0
32807,1771,43.7,6,1234,1,0,40.81,0,1386,0.0274,1.0708159764763538,0.0,0,0,0,0,electronics,mobile,US,False,0
45333,6424,50.63,0,2560,4,1,34.29,0,2949,0.0001,1.4765237678623506,0.25,1,0,0,0,gambling,desktop,US,False,0
24805,2816,17.96,11,345,0,0,12.1,1,428,0.5393,1.484297520661157,0.0,0,0,0,1,grocery,mobile,US,False,0
16369,740,90.93,18,3280,1,0,49.39,1,3406,0.0001,1.8410609435108325,0.0,0,0,0,1,crypto,mobile,US,False,0
3523,9495,15.54,23,2127,0,0,27.14,0,2520,0.0002,0.5725865880619012,0.0,0,0,0,0,electronics,mobile,CN,False,0
46573,2196,36.47,22,2979,0,0,63.5,0,3194,0.0,0.5743307086614173,0.0,0,0,0,0,restaurant,desktop,US,False,0
10534,956,55.55,21,2231,2,0,65.46,1,2411,0.0001,0.8486098380690499,0.0,0,0,0,1,entertainment,mobile,RU,False,0
12620,7455,66.15,21,2220,0,0,88.77,0,2490,0.0003,0.745184183845894,0.0,0,0,0,0,grocery,desktop,US,False,0
15515,6739,7.7,11,1359,3,1,11.08,0,1483,0.021,0.6949458483754513,0.3333333333333333,0,0,0,0,travel,mobile,BR,False,0
18802,9706,9.19,12,2941,3,1,8.69,1,3085,0.0003,1.0575373993095512,0.3333333333333333,0,0,0,1,restaurant,mobile,CA,False,0
10590,696,26.74,1,925,1,0,35.2,0,1224,0.0126,0.7596590909090908,0.0,1,0,0,0,grocery,mobile,US,False,0
2976,5615,16.84,4,2086,3,0,17.82,0,2362,0.0198,0.9450056116722784,0.0,1,0,0,0,travel,pos,CA,False,0
8382,2517,53.73,12,2526,2,0,37.09,2,2905,0.0002,1.44863844702076,0.0,0,0,0,1,travel,mobile,US,False,0
31677,646,41.96,7,1199,1,0,61.95,0,1544,0.0009,0.677320419693301,0.0,0,0,0,0,grocery,mobile,US,False,0
24603,4553,42.62,9,362,2,0,46.76,0,394,0.1061,0.9114627887082976,0.0,0,0,0,0,utilities,mobile,US,False,0
38777,9002,30.15,12,69,2,0,25.92,0,345,0.0952,1.1631944444444444,0.0,0,0,0,0,travel,desktop,RU,False,0
25350,352,31.1,5,164,1,0,46.1,0,183,0.4702,0.6746203904555315,0.0,1,0,0,0,other,mobile,US,False,0
38567,8423,43.31,15,872,2,1,40.67,0,1181,0.04,1.0649127120727808,0.5,0,0,0,0,utilities,desktop,GB,False,0
40029,3679,42.64,3,1967,0,0,56.84,1,2323,0.0011,0.7501759324419423,0.0,1,0,0,1,fashion,tablet,US,False,0
21042,8909,61.92,23,1204,2,0,82.65,1,1242,0.0268,0.7491833030852995,0.0,0,0,0,1,fashion,desktop,US,False,0
2865,6814,12.97,16,1884,0,0,19.82,0,1959,0.0,0.6543895055499496,0.0,0,0,0,0,gambling,mobile,CA,False,0
47634,7718,49.88,8,2578,0,2,78.67,0,2679,0.0011,0.634040930469048,0.0,0,0,0,0,fashion,mobile,CA,False,0
21902,7342,258.91,18,1314,3,1,315.15,1,1340,0.0406,0.8215452958908458,0.3333333333333333,0,0,0,1,gambling,mobile,US,False,0
23924,8522,33.67,22,3501,0,0,5.8,0,3894,0.0,5.805172413793104,0.0,0,0,0,0,utilities,mobile,US,False,0
13194,5802,258.42,7,1402,2,0,170.76,0,1545,0.0078,1.5133520730850318,0.0,0,0,0,0,gambling,mobile,FR,True,0
7597,329,148.72,4,516,1,0,74.27,0,760,0.1348,2.0024235896054936,0.0,1,0,0,0,utilities,mobile,US,False,0
31564,9787,69.38,0,1910,5,1,48.8,0,2177,0.0001,1.42172131147541,0.2,1,0,0,0,utilities,mobile,US,False,0
43887,6587,7.84,1,1992,2,0,25.42,0,2289,0.0022,0.3084185680566483,0.0,1,0,0,0,crypto,mobile,DE,False,0
23336,2698,28.94,13,1525,3,0,45.88,0,1722,0.0016,0.6307759372275501,0.0,0,0,0,0,grocery,mobile,DE,False,0
13604,5818,35.55,6,3369,0,0,28.14,0,3572,0.0,1.263326226012793,0.0,0,0,0,0,entertainment,desktop,US,False,0
20523,3399,47.09,9,30,2,0,30.71,0,258,0.3916,1.5333767502442202,0.0,0,0,0,0,electronics,desktop,CA,False,1
45190,7083,30.41,11,2674,0,0,47.02,0,2902,0.0,0.6467460655040408,0.0,0,0,0,0,restaurant,mobile,US,False,0
8764,5929,124.81,5,413,2,1,76.0,0,608,0.4998,1.642236842105263,0.5,1,0,0,0,fashion,mobile,US,False,0
16802,933,503.17,22,940,2,0,110.61,0,997,0.1834,4.54904619835458,0.0,0,0,0,0,utilities,mobile,CN,True,0
43672,848,18.19,3,189,1,0,13.01,0,191,0.5223,1.3981552651806304,0.0,1,0,0,0,travel,mobile,US,False,1
37957,1967,152.45,7,1354,3,0,125.14,0,1598,0.0179,1.2182355761547066,0.0,0,0,0,0,grocery,mobile,DE,False,0
29105,2220,33.18,7,703,1,2,37.13,0,943,0.1258,0.8936170212765957,2.0,0,0,0,0,grocery,mobile,GB,False,0
35341,2693,19.24,17,3322,1,0,18.64,0,3708,0.0,1.0321888412017166,0.0,0,0,0,0,restaurant,desktop,IN,False,0
37115,3933,291.69,8,2566,1,0,232.4,0,2657,0.0006,1.2551204819277109,0.0,0,0,0,0,travel,mobile,CA,False,0
3977,118,102.26,17,511,3,1,76.68,0,752,0.1704,1.3335941575378194,0.3333333333333333,0,0,0,0,gambling,mobile,US,False,0
8438,228,14.53,16,2115,1,1,10.95,1,2489,0.0001,1.3269406392694063,1.0,0,0,0,1,utilities,mobile,US,False,0
11081,5979,71.07,0,752,1,1,65.88,0,942,0.3738,1.0787795992714024,1.0,1,0,0,0,fashion,mobile,US,False,0
25361,2184,75.06,2,2354,0,0,62.48,0,2400,0.0,1.2013444302176697,0.0,1,0,0,0,fashion,pos,GB,False,0
733,4433,161.2,13,3279,1,0,84.25,0,3643,0.0002,1.9133531157270027,0.0,0,0,0,0,electronics,mobile,FR,False,0
38004,4159,14.71,1,730,1,1,16.5,0,843,0.1464,0.8915151515151516,1.0,1,0,0,0,electronics,mobile,DE,False,0
